MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing
13.4083337783813,496.899993896484,5.90399980545044,7.706999779,16.4699993133545,1,6197.54108403646,398.505896537226,Wheat_maize,SDB,DT,CI,Yes
13.9750003814697,517.0,6.1410003900528,7.295000076,13.7700004577637,1,7059.7449917957,477.127591397849,Wheat_maize,SDB,DT,CI,Yes
13.0833330154419,460.0,6.37799978256226,6.992000103,13.4099998474121,1,6282.43119,415.858666666667,Wheat_maize,SDB,DT,CI,Yes
13.4083337783813,496.899993896484,5.96200048923492,8.005999565,17.7600002288818,1,6438.07725819672,419.492304449648,Wheat_maize,SDB,DT,CI,Yes
13.0833330154419,460.0,4.98299986124039,7.545000076,13.7741937637329,1,5967.5721349454,399.943544461779,Wheat_maize,SDB,DT,CI,Yes
11.6916666030884,517.599975585938,6.41600012779236,7.130000114,17.0,1,6648.13375,539.832,Wheat_maize,SDB,DT,CI,Yes
13.9416666030884,542.0,6.50799989700317,7.159999847,20.9599990844727,1,6864.79404540107,441.222238754821,Wheat_maize,SDB,DT,CI,Yes
13.9499998092651,506.200012207031,4.32500004768372,8.149999619,14.25,1,6356.23722151335,361.044312524272,Wheat_maize,SDB,DT,CI,Yes
14.8000001907349,523.200012207031,6.12299978733063,7.454999924,15.7272729873657,1,6831.75618775775,453.062030486596,Wheat_maize,SDB,DT,CI,Yes
14.8000001907349,523.200012207031,6.29999995231628,6.5,9.0,1,7023.61093494426,418.12310800578,Wheat_maize,SDB,DT,CI,Yes
13.9499998092651,506.200012207031,5.20099997520447,5.929999828,14.5243902206421,1,6731.96018930031,390.34388522831,Wheat_maize,SDB,DT,CI,Yes
15.1666669845581,544.400024414062,6.31999969482422,6.650000095,10.1999998092651,1,7090.63449123206,366.006389195807,Wheat_maize,SDB,DT,CI,Yes
14.7333335876465,538.600036621094,6.28499984741211,6.574999809,9.44999980926514,1,7088.75609173804,404.393816210287,Wheat_maize,SDB,DT,CI,Yes
13.1000003814697,567.200012207031,4.99799996614456,7.876999855,14.3800001144409,1,6446.52739355906,386.233806526302,Wheat_maize,SDB,DT,CI,Yes
14.8000001907349,523.200012207031,6.80599987506866,6.494999886,13.1099996566772,1,7083.077240155,440.566820978112,Wheat_maize,SDB,DT,CI,Yes
13.9499998092651,506.200012207031,3.3500000834465,3.994999886,13.9074077606201,1,6418.7940884323,430.873818966995,Wheat_maize,SDB,DT,CI,Yes
15.1666669845581,544.400024414062,6.53800010681152,7.373000145,16.9799995422363,1,7043.8602498099,353.239248359074,Wheat_maize,SDB,DT,CI,Yes
15.1666669845581,544.400024414062,6.29999995231628,6.5,9.0,1,7538.05775324398,396.438834965035,Wheat_maize,SDB,DT,CI,Yes
15.0749998092651,543.200012207031,6.22500002384186,6.875,11.25,1,7254.50454247727,482.073169876979,Wheat_maize,SDB,DT,CI,Yes
14.7333335876465,538.600036621094,6.42000019550323,6.487999916,9.89999961853027,1,7191.68092294119,437.468740162063,Wheat_maize,SDB,DT,CI,Yes
14.8000001907349,523.200012207031,6.38800024986267,6.843999863,12.3599996566772,1,7589.74231153041,468.040608429062,Wheat_maize,SDB,DT,CI,Yes
12.9250001907349,621.400024414062,5.4720002412796,7.874000072,17.4599990844727,1,7063.0280838843,547.729792053507,Wheat_maize,SDB,DT,CI,Yes
12.9250001907349,621.400024414062,5.51199972629547,7.431999683,23.0599994659424,1,6930.80674834776,455.829878940913,Wheat_maize,SDB,DT,CI,Yes
12.341667175293,640.200012207031,5.57200014591217,8.048000336,15.0600004196167,1,6608.6400775679,616.062954575328,Wheat_maize,SDB,DT,CI,Yes
13.5749998092651,579.900024414062,7.00800001621246,7.78000021,19.1000003814697,1,6593.35857871708,466.354824240947,Wheat_maize,SDB,DT,CI,Yes
11.5666666030884,560.299987792969,5.03700017929077,7.357999802,18.2600002288818,1,6356.86221895924,711.053651344316,Wheat_maize,SDB,DT,CI,Yes
11.1750001907349,659.100036621094,6.42099976539612,6.678999901,16.1700000762939,1,7439.68041513761,679.359375418433,Wheat_maize,SDB,DT,CI,Yes
11.7250003814697,636.099975585938,6.27499997615814,7.677000046,18.5799999237061,1,7077.56318517888,566.948126064736,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,598.400024414062,7.72700011730194,7.298999786,26.3400001525879,1,7358.6859558425,645.383138358827,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,598.400024414062,6.29999995231628,6.5,9.0,1,6916.86696951924,562.576385370704,Wheat_maize,SDB,DT,CI,Yes
14.9499998092651,602.600036621094,7.44599997997284,7.993999958,30.1200008392334,1,7026.29601826701,450.577678109722,Wheat_maize,SDB,DT,CI,Yes
11.375,640.900024414062,8.97000014781952,7.862999916,14.5600004196167,1,5342.88464304983,344.207404826112,Wheat_maize,SDB,DT,CI,Yes
15.0083332061768,603.799987792969,6.03799998760223,7.933000088,16.7999992370605,1,6501.39501088527,462.488949965398,Wheat_maize,SDB,DT,CI,Yes
15.1166667938232,552.300048828125,6.38500034809113,7.893000126,15.6099996566772,1,6289.11639741,350.114381666667,Wheat_maize,SDB,DT,CI,Yes
15.2333335876465,568.799987792969,5.49899995326996,8.045000076,17.2399997711182,1,6505.22703005656,701.310755486596,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,598.400024414062,6.36799991130829,6.540999889,9.85999965667725,1,6985.78093111693,933.004934171552,Wheat_maize,SDB,DT,CI,Yes
15.1166667938232,552.300048828125,6.12500011920929,8.008000374,16.7600002288818,1,7143.34078346099,514.968763263782,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,598.400024414062,6.73500001430511,6.599999905,13.25,1,6824.25321032495,573.547395754945,Wheat_maize,SDB,DT,CI,Yes
15.2333335876465,568.799987792969,6.46600008010864,7.928999901,24.7199993133545,1,7464.42750798202,394.96688090086,Wheat_maize,SDB,DT,CI,Yes
14.2416667938232,584.200012207031,4.15200024843216,8.154000282,13.3800001144409,1,5864.55044731032,327.962328954476,Wheat_maize,SDB,DT,CI,Yes
14.8000001907349,523.200012207031,4.62999999523163,5.385000229,16.8333339691162,1,6672.189118,433.5,Wheat_maize,SDB,DT,CI,Yes
15.0666666030884,552.100036621094,4.03899997472763,8.168000221,13.289999961853,1,7146.17295475479,434.609180106383,Wheat_maize,SDB,DT,CI,Yes
15.0666666030884,552.100036621094,6.4819997549057,7.864999771,19.9200000762939,1,6835.43709488281,493.248035486596,Wheat_maize,SDB,DT,CI,Yes
15.0666666030884,552.100036621094,6.57499969005585,6.611000061,10.4399995803833,1,7085.64589955539,386.074625542725,Wheat_maize,SDB,DT,CI,Yes
15.0666666030884,552.100036621094,7.21700012683868,7.69299984,19.7800006866455,1,7029.69696835427,420.482467392343,Wheat_maize,SDB,DT,CI,Yes
15.0666666030884,552.100036621094,5.86800038814545,7.967999935,21.1599998474121,1,7376.48349732204,454.328129578737,Wheat_maize,SDB,DT,CI,Yes
14.8000001907349,523.200012207031,4.62999999523163,5.385000229,16.8333339691162,1,7066.84846761013,387.261532188722,Wheat_maize,SDB,DT,CI,Yes
15.1666669845581,544.400024414062,6.04499995708466,7.925000191,17.7299995422363,1,7258.99886355398,450.153391642139,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,559.5,5.77699959278107,7.953999996,19.5300006866455,1,6680.5811518075,328.15275,Wheat_maize,SDB,DT,CI,Yes
15.0749998092651,543.200012207031,5.66200017929077,8.038000107,16.2800006866455,1,6853.96164421516,325.840275228549,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,559.5,5.80900013446808,7.901000023,19.6200008392334,1,6350.85706103055,385.812817674418,Wheat_maize,SDB,DT,CI,Yes
15.3083333969116,559.5,5.53600013256073,7.962999821,18.9099998474121,1,6813.08424385126,421.838691646526,Wheat_maize,SDB,DT,CI,Yes
15.1166667938232,552.300048828125,6.15799963474274,8.015999794,19.6200008392334,1,6593.05847238281,447.170050308698,Wheat_maize,SDB,DT,CI,Yes
14.9416666030884,546.799987792969,5.60899972915649,8.086999893,15.4799995422363,1,6554.88899360406,515.562860486596,Wheat_maize,SDB,DT,CI,Yes
